x_min,x_max,y_min,y_max,ID
100,120,336,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_2_23
400,452,259,311,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_4_25
399,417,328,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_4_26
419,435,343,359,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_6_28
447,467,218,238,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_10_86
352,378,251,277,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_14_98
307,339,365,397,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_16_103
104,130,341,367,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_18_110
379,399,260,280,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_20_117
169,189,197,217,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_129
184,206,310,332,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_130
163,187,261,285,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_131
384,402,217,235,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_132
64,98,290,324,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_24_135
88,138,324,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_24_136
47,71,305,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_26_139
77,113,185,221,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_28_144
99,123,350,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_32_149
162,204,222,264,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_38_199
327,367,311,351,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_40_335
359,413,188,242,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_40_336
154,172,349,367,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_42_344
302,320,327,345,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_42_345
170,202,313,345,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_347
120,136,328,344,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_348
137,153,306,322,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_349
348,368,364,384,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_350
342,370,308,336,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_46_367
136,178,212,254,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_50_420
294,342,160,208,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_454
395,419,322,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_455
376,394,298,316,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_456
101,115,214,228,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_56_477
96,112,231,247,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_56_478
121,161,316,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_58_490
138,156,370,388,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_58_491
383,431,264,312,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_60_506
364,388,350,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_60_507
287,341,227,281,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_62_536
